ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,distance_gspphot
274.3676013221111,-18.94997882024981,0.06837822592477466,,,,,
274.3720194805435,-18.945848976488413,1.3706743364664182,19.794775,20.803503,19.100449,,
274.36924770905654,-18.948073933284167,0.7089517756303333,19.348742,20.210981,18.30227,,
274.3729162864425,-18.944030291954856,-0.16782146900602318,20.185276,21.351288,19.439352,,
274.3713151079875,-18.943999546533032,,19.604244,,,,
274.3656405724026,-18.94937304169924,0.6058348010384786,19.005674,20.001238,18.108168,,
274.37081399370913,-18.943639077671293,0.3450901819922893,19.435125,,,,
274.3651090659325,-18.94848264404466,0.9674871519191177,19.401999,,,,
274.3638512406198,-18.949495789946276,0.19427512795303675,19.649054,20.861914,18.5002,,
274.3729351870329,-18.940886834584205,-1.1162878414307562,19.665598,20.238405,17.478342,,
274.3731201253076,-18.939956431303955,,19.969969,,,,
274.3691542873421,-18.943101300560922,0.2570529925563171,19.515665,20.582829,18.739044,,
274.36290580453345,-18.94871528510335,0.09239622040953849,20.001028,22.448069,18.815601,,
274.37307792161937,-18.93888067929374,-0.380743486731855,19.783796,21.04221,18.628647,,
274.36727823820075,-18.943907723572888,0.3268812192052534,18.114458,20.643753,16.642004,,906.7172
274.36763752267325,-18.94336712655502,-0.2842520849090511,19.754105,,,,
274.37107455332693,-18.939814819462512,-0.13592864615865136,19.830172,,,,
274.3664507806927,-18.943972976059914,0.523376028999964,18.196146,19.384884,17.082922,,591.3776
274.37136473188195,-18.94530053249608,,20.827282,22.25987,20.30824,,
274.3683506348993,-18.952575265486825,2.1740115015135326,20.363186,,,,
274.37586111304563,-18.941285139909706,-1.2380507850287898,20.480331,19.011614,17.877949,,
274.36897652474914,-18.94661030469282,,20.707066,22.036013,19.376366,,
274.3671307555554,-18.94768568909753,,20.861156,22.222345,19.41047,,
274.3610316116849,-18.95478094527374,0.3286308627786283,18.808092,21.784296,17.404623,,
274.3698845218226,-18.948049472709016,,,,,,
274.3736641617029,-18.948654553636317,,20.772663,21.49849,18.945372,,
274.3735947435053,-18.949149922432518,,20.762423,,19.909126,,
274.37488088876114,-18.948380526308654,,20.714317,,,,
274.37865030567986,-18.947592735805504,,20.623505,22.211884,19.748032,,
274.3768255479078,-18.948618536254656,0.24537685049941999,16.22672,17.255783,15.194746,,1609.0981
