mg,mb,mr,parallax
15.8691025,16.284252,15.2842045,0.5267934518335473
16.415934,16.824066,15.850835,0.49548828751153584
16.835617,17.293877,16.217922,0.5157891379611602
15.397337,15.751984,14.877099,0.5471036270109346
16.892488,17.602015,16.069958,1.2657659758513777
16.885302,17.378267,16.23408,0.5946201423672159
14.527571,14.892317,13.995259,1.056122396859589
14.984311,15.390951,14.414208,1.213878109383751
15.12488,15.481033,14.60862,0.5309307819536444
16.19097,16.58391,15.636214,0.472335385351374
16.845373,17.342295,16.1885,0.5500472843849985
14.901936,15.264118,14.379112,0.5242278283006893
15.298027,15.644206,14.786206,0.5210932973868325
10.7909155,11.639277,9.890707,0.556280876247642
16.783892,17.237133,16.179447,0.5942834720336658
16.232668,16.631884,15.692477,0.5721551878899956
15.141944,15.466892,14.640218,0.795780555569993
14.686383,15.204281,14.019403,0.5466069585562476
14.839593,15.345294,14.184376,0.5343060868306094
15.15463,15.5058565,14.637541,0.5169725547905046
17.505814,18.712011,16.453997,1.8938536221965396
16.135109,16.83524,15.3339,0.926456594321931
12.863848,13.417735,12.1637,0.9872809694564935
15.509877,15.905044,14.94918,0.5036171760317578
14.818054,15.239779,14.230751,0.5230960914186277
15.580326,15.994628,15.00235,0.5016219536312481
14.376099,14.70533,13.881772,0.4975092189176673
16.769838,17.233479,16.157602,0.6027169929404923
15.589711,15.958824,15.048078,0.5317160861605853
16.562386,16.97769,15.976912,0.5346795949754951
16.614899,17.052122,16.029049,0.5767533698191426
16.417068,16.814533,15.858177,0.5663106597579404
15.490285,15.878888,14.933113,0.4549303224333711
16.316006,16.708954,15.752055,0.5417872842073377
15.364545,15.710477,14.84893,0.5202756838885759
15.932291,16.306198,15.385597,0.5247820263141159
16.227718,16.605356,15.582298,0.5074917938938025
14.871274,15.395688,14.198691,0.4801095137935005
15.590234,15.940208,15.067402,0.5527199487572422
15.726437,16.09341,15.192706,0.4760614698815411
15.807157,16.164326,15.279295,0.5016594047782644
16.783953,17.288849,16.120424,0.521018340924159
16.449553,16.939705,15.798042,0.47849076594332557
15.096705,15.3831,14.647811,0.3987674202993094
14.88051,15.227763,14.368523,0.5396921591025375
16.73949,17.175684,16.146845,0.5065838173167403
17.4887,18.4654,16.533606,1.3556708048247152
15.300608,15.648095,14.770491,0.5333426844601521
15.409865,15.757339,14.897431,0.5316615739540818
15.134004,15.481565,14.619228,0.5618858006973793
15.911313,16.314438,15.34551,0.7569361475462499
15.382221,15.739971,14.854366,0.5235863820830753
16.94074,17.45914,16.262665,0.691258926085008
16.790844,17.246927,16.193472,0.5030305119856546
16.334585,17.3536,15.341887,2.862156809515144
15.713786,16.069372,15.185419,0.5694359957929047
13.383828,13.877398,12.735289,0.5090344671534074
15.233316,15.722054,14.584405,0.2565308536923513
16.78819,17.499323,15.942221,1.3999945199050123
17.18063,17.861671,16.309519,0.9021820330639759
17.888191,18.838879,16.959526,0.9932490616205698
17.147753,17.931564,16.29608,1.0086723552010919
17.40175,18.226795,16.54023,1.1646380085334564
16.012848,16.329315,15.534157,0.40958070497198085
16.807217,17.394428,16.090435,0.8938261062168653
15.636128,15.965024,15.139694,0.5369443427905086
15.048803,15.392612,14.537867,0.502774928274399
15.961972,16.316387,15.447998,0.4146509271306727
15.706642,16.073685,15.167808,0.4964178819885464
16.539295,16.95387,15.964692,0.4622081630250899
14.681878,15.213679,14.003783,0.4993731403135129
15.632359,15.989628,15.107281,0.5172424697575706
15.284957,15.649427,14.749551,0.48381855955692593
16.144657,16.49701,15.612263,0.45067862264085096
15.229204,15.646409,14.641397,0.9057953114460595
18.350819,19.64943,17.225954,1.7778575090692583
15.848566,16.201612,15.327877,0.5086101738586436
14.942251,15.309913,14.4012165,0.6666993631792762
14.850203,15.222525,14.308684,0.5286261475426323
12.800144,13.193158,12.24193,2.798955481204122
14.981193,15.481438,14.3271055,1.6278138398536852
15.415255,15.768254,14.902314,0.5158300354972933
16.598475,17.028961,16.00367,0.4801913511428124
14.827427,15.268647,14.2245865,0.4960887679040078
15.781936,16.160658,15.007025,0.5168912993564877
14.910423,15.377057,14.284028,0.4944213602034471
14.598742,14.956123,14.068079,0.5076203745958305
14.189061,14.715428,13.51474,0.5234470510388253
16.646143,17.085894,16.032383,0.5145508516237114
14.814832,15.119253,14.345008,0.5862750638572345
16.789158,17.23704,16.18041,0.5567316683134853
14.382735,14.705433,13.891398,1.076969318811567
