parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,distance_gspphot
1.1799381823363613,19.930939,20.65738,18.970186,1.6871929,0.7264404,0.9607525,
,20.588282,,,,,,
,21.033983,21.842665,20.209454,1.6332111,0.8086815,0.82452965,
,20.922096,,,,,,
1.7164000990590988,20.712421,21.019148,20.113544,0.9056034,0.30672646,0.59887695,
-0.18138175761810177,20.595371,21.61259,19.980213,1.6323776,1.0172195,0.6151581,
,20.585443,21.621717,19.706934,1.9147835,1.036274,0.8785095,
,20.991299,,,,,,
4.9468672180002,20.668156,21.161201,19.400946,1.7602558,0.4930458,1.26721,
,20.789606,,,,,,
,20.998957,21.791714,20.092974,1.69874,0.79275703,0.905983,
,21.021637,21.173513,19.658089,1.5154247,0.15187645,1.3635483,
,20.912056,,,,,,
,20.953798,20.345303,19.206339,1.1389637,-0.6084957,1.7474594,
0.6346888439861498,17.788036,18.42831,17.07354,1.3547707,0.64027405,0.7144966,1123.212
0.5601465155268779,17.492727,18.028112,16.74732,1.2807922,0.53538513,0.7454071,1452.0142
0.41537538552789366,15.9073515,16.490072,15.152223,1.3378496,0.58272076,0.75512886,4082.0425
0.22473742370726701,17.630274,18.226273,16.893759,1.3325138,0.59599876,0.73651505,1196.3098
0.579851069728362,16.95684,17.46158,16.226852,1.2347279,0.50473976,0.7299881,
0.6455586865749938,19.930836,,,,,,
0.5577887067904858,14.861245,15.519627,14.061005,1.458622,0.65838146,0.8002405,1828.5411
0.6596402016396998,16.209003,16.733408,15.502336,1.2310724,0.5244045,0.7066679,1229.2896
0.5245195608142595,16.461428,16.965162,15.766203,1.1989594,0.5037346,0.69522476,1683.8368
0.4030002750635936,17.198627,17.698769,16.480661,1.2181072,0.50014114,0.7179661,1891.2592
0.5049776484182509,17.639736,18.16183,16.772474,1.3893566,0.5220947,0.8672619,
-0.12605782704345764,16.62407,16.851032,15.655768,1.1952639,0.22696304,0.9683008,
0.5670544866055196,17.404263,17.903614,16.671402,1.2322121,0.4993515,0.73286057,1280.8969
0.572732523452716,19.864347,,,,,,
0.5319819189750634,12.840603,13.457371,12.072431,1.3849401,0.6167679,0.76817226,
0.4838220170983804,15.934826,16.479776,15.196073,1.2837038,0.5449505,0.7387533,1257.1233
